Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,ACCTG  31B,VALDIVIA O,7,4,,,4,,,,2,,3,20
,,ACCTG  31B Total,,7,4,,,4,,,,2,,3,20
,,ACCTG  45,RESNICK W J,36,7,3,,2,,,,1,,11,60
,,,SENKO E A,11,6,1,,5,,,1,,,,24
,,ACCTG  45 Total,,47,13,4,,7,,,1,1,,11,84
,ACCTG Total,,,797,435,181,61,143,,2,6,15,,356,1996
,AD JUS,AD JUS  1,KHALIL N,8,15,10,1,7,,,,,,2,43
,,,SMITH DEBORAH R,7,11,3,3,13,,,,,,5,42
,,AD JUS  1 Total,,15,26,13,4,20,,,,,,7,85
,,AD JUS  2,DARDEN C A,12,11,6,,3,,,,,,5,37
,,AD JUS  2 Total,,12,11,6,,3,,,,,,5,37
,,AD JUS  3,SMITH DEBORAH R,2,8,11,2,3,,,,,,6,32
,,AD JUS  3 Total,,2,8,11,2,3,,,,,,6,32
,,AD JUS  5,DARDEN C A,9,14,3,,2,,,,,,10,38
,,AD JUS  5 Total,,9,14,3,,2,,,,,,10,38
,AD JUS Total,,,38,59,33,6,28,,,,,,28,192
,AUTO,AUTO   40,OATES S M,12,8,1,,1,,2,,1,,2,27
,,AUTO   40 Total,,12,8,1,,1,,2,,1,,2,27
,,AUTO   46,OATES S M,3,5,,,,,,,1,,4,13
,AUTO Total,,,15,13,1,,1,,2,,2,,6,40
,BUS,BUS     1,EVERETT K M,40,17,4,4,9,,,,,,13,87
,,,KELLY MARCELLA A,18,9,5,1,8,,1,,,,4,46
,,,MACIAS J F,18,17,3,4,13,,,,1,,14,70
,,,NALEPA L L,3,4,2,2,6,,,,,,3,20
,,,OLIVERI J S,15,7,3,,12,,,,1,,2,40
,,,PAIK R,7,11,8,,11,,,,,,,37
,,,RODRIGUEZ K P,37,7,2,,,,,,,,2,48
,,,ROPER‐CONLEY C,12,33,19,9,28,,10,,,,23,134
,,,SEDKY S M,57,8,6,4,7,,,,1,,1,84
,,,SHISHIDO K M,51,9,7,,6,,,,,,10,83
,,,VEAS S,79,8,2,1,6,,,,,,3,99
,,BUS     1 Total,,337,130,61,25,106,,11,,3,,75,748
,,BUS     5,HALLIDAY‐ROBERT CA E,15,19,5,2,8,,,,,,8,57
,,,KLUGMAN E B,18,18,15,11,8,,2,2,,,22,96
,,,NASSER D M,62,58,29,6,17,,,1,3,,20,196
,,,RADOS‐CLOKE A,29,33,39,11,3,,,,,,11,126
,,,SINDELL S M,12,11,2,,,,1,,,,4,30
,,BUS     5 Total,,136,139,90,30,36,,3,3,3,,65,505
,,BUS     6,HALLIDAY‐ROBERT CA E,11,11,6,1,3,,,,,,4,36
,,BUS     6 Total,,11,11,6,1,3,,,,,,4,36
,,BUS     8,KHALIL N,10,6,3,1,3,,,,1,,6,30
,,BUS     8 Total,,10,6,3,1,3,,,,1,,6,30
,,BUS     9,KHALIL N,12,13,4,1,2,,,,,,3,35
,,BUS     9 Total,,12,13,4,1,2,,,,,,3,35
,,BUS    11,MARGOLIS D L,5,1,1,,4,,,,,,8,19
,,BUS    11 Total,,5,1,1,,4,,,,,,8,19
,,BUS    17,COMBS G E,5,3,3,,1,,,,,,7,19
,,BUS    17 Total,,5,3,3,,1,,,,,,7,19
,,BUS    18,COMBS G E,6,3,1,,3,,,,1,,20,34
,,BUS    18 Total,,6,3,1,,3,,,,1,,20,34
,,BUS    20,GABBAY C C,7,1,,,,,,,,,,8
,,,JUNG D,16,1,,1,2,,,,1,,16,37
,,,OLIVERI J S,17,4,2,,3,,,,1,,2,29
,,,ROCKWELL C,13,2,1,,1,,,,,,3,20
,,,SEDKY S M,51,27,6,5,11,,,,,,14,114
,,BUS    20 Total,,124,50,11,8,20,,,,2,,36,251
,,BUS    21,IVAS L,20,7,4,,4,,1,,,,6,42
,,BUS    21 Total,,20,7,4,,4,,1,,,,6,42
,,BUS    22,COPLEN J S,10,18,6,2,2,,,,,,3,41
,,BUS    22 Total,,10,18,6,2,2,,,,,,3,41
,,BUS    23,COPLEN J S,8,7,11,1,4,,,,,,7,38
,,,PACCIORETTI T S,73,15,1,1,21,,,,1,,23,135
,,BUS    23 Total,,81,22,12,2,25,,,,1,,30,173
,,BUS    26,ALEXANDER J S,12,5,2,1,4,,,1,,,2,27
,,BUS    26 Total,,12,5,2,1,4,,,1,,,2,27
,,BUS    27,ALEXANDER J S,8,1,2,3,2,,,,,,15,31
,,,COPLEN J S,15,10,3,2,3,,,,,,3,36
,,BUS    27 Total,,23,11,5,5,5,,,,,,18,67
,,BUS    28,ADELMAN A,11,15,2,,1,,,,,,,29
,,BUS    28 Total,,11,15,2,,1,,,,,,,29
,,BUS    31,SANTILLANES A,1,5,8,7,6,,,,1,,2,30
,,BUS    31 Total,,1,5,8,7,6,,,,1,,2,30
,,BUS    32,JUNG D,2,2,7,1,3,,,,,,9,24
,,,PAIK R,18,23,3,1,7,,1,1,,,4,58
,,,REVELES J J,,,,,,,,,,29,1,30
,,,ROCKWELL C,12,7,2,1,3,,,,1,,1,27
,,,SOUCY S H,22,11,6,1,6,,,,1,,8,55
,,,WELTON M,18,5,7,1,1,,1,,,,1,34
,,BUS    32 Total,,72,48,25,5,20,,2,1,2,29,24,228
,,BUS    34,HAIG J D,21,11,1,,4,,,,1,,2,40
,,,REVELES J J,1,1,,,,,,,,33,6,41
,,BUS    34 Total,,22,12,1,,4,,,,1,33,8,81
,,BUS    45,BROWN M W,5,6,7,,,,,,,,,18
,,,GABBAY C C,14,2,2,1,,,,,,,,19
,,,RESNICK W J,44,12,9,1,2,,,1,,,5,74
,,BUS    45 Total,,89,25,21,4,10,,,1,,,8,158
,,BUS    46,SENKO E A,11,12,4,1,7,,,,,,6,41
,,,SHISHIDO K M,17,4,1,1,1,,,,,,13,37
,,BUS    46 Total,,28,16,5,2,8,,,,,,19,78
,,BUS    47,LU M,5,1,1,,1,,,,,,1,9
,,,RESNICK W J,28,3,4,1,1,,,,,,6,43
,,BUS    47 Total,,33,4,5,1,2,,,,,,7,52
,,BUS    51,WELTON M,18,4,4,,2,,,,1,,2,31
,,BUS    51 Total,,18,4,4,,2,,,,1,,2,31
,,BUS    52,RODRIGUEZ K P,21,4,1,,1,,,,2,,4,33
,,BUS    52 Total,,21,4,1,,1,,,,2,,4,33
,,BUS    53,RODRIGUEZ K P,12,5,1,,3,,,1,,,7,29
,,BUS    53 Total,,12,5,1,,3,,,1,,,7,29
,,BUS    54,EVERETT K M,22,4,2,1,2,,,,,,2,33
,,BUS    54 Total,,22,4,2,1,2,,,,,,2,33
,,BUS    62,BABCOCK L G,13,5,5,1,2,,,,1,,9,36
,,BUS    62 Total,,13,5,5,1,2,,,,1,,9,36
,,BUS    63,CLAUSEN A I,2,5,8,2,6,,,,,,8,31
,,,PACCIORETTI T S,37,8,2,2,21,,,,,,15,85
,,BUS    63 Total,,39,13,10,4,27,,,,,,23,116
,,BUS    65,ROCKWELL C,13,7,2,1,2,,,,,,7,32
,,BUS    65 Total,,13,7,2,1,2,,,,,,7,32
,,BUS    69,PACCIORETTI T S,13,4,,1,4,,,,1,,1,24
,,BUS    69 Total,,13,4,,1,4,,,,1,,1,24
,,BUS    79,HUNTER R T,18,3,,,3,,,,,,5,29
,,BUS    79 Total,,18,3,,,3,,,,,,5,29
,,BUS    80,RODRIGUEZ K P,22,4,1,1,3,,,,,,6,37
,,BUS    80 Total,,22,4,1,1,3,,,,,,6,37
,,BUS    81,ROGERS T A,9,1,1,2,2,,,,,,1,16
,,BUS    81 Total,,9,1,1,2,2,,,,,,1,16
,,BUS    82,EVERETT K M,12,5,2,1,4,,,,,,2,26
,,BUS    82 Total,,12,5,2,1,4,,,,,,2,26
,,BUS    84,RODRIGUEZ K P,19,4,,,3,,,,,,6,32
,,BUS    85,EVERETT K M,23,3,3,1,1,,,,,,11,42
,,BUS    85 Total,,23,3,3,1,1,,,,,,11,42
,BUS Total,,,1302,610,308,108,328,,17,7,20,62,437,3199
,COUNS,COUNS  47,LU M,6,3,1,,2,,,,,,1,13
,,,RESNICK W J,29,2,2,,6,,,,,,3,42
,,COUNS  47 Total,,35,5,3,,8,,,,,,4,55
,COUNS Total,,,35,5,3,,8,,,,,,4,55
Business Total,,,,2187,1122,526,175,508,,21,13,37,62,831,5482
Communication,BUS,BUS    29,ADELMAN A,4,7,,,,,,,,,1,12
,,BUS    29 Total,,4,7,,,,,,,,,1,12
,,BUS    33,ADELMAN A,2,3,2,,1,,,,,,5,13
,,BUS    33 Total,,2,3,2,,1,,,,,,5,13
,BUS Total,,,6,10,2,,1,,,,,,6,25
,COM ST,COM ST  9,MENJIVAR M I,5,11,7,,,,,,,,6,29
,,,RUH C,1,8,3,1,7,,,,,,3,23
,,COM ST  9 Total,,6,19,10,1,7,,,,,,9,52
,,COM ST 11,ANDRADE L M,21,10,5,1,5,,,,,,18,60
,,,BEELER M,10,2,3,1,3,,,,,,9,28
,,,BERGSTROM L M,14,7,3,,1,,,,,,5,30
,,,BERMUDEZ JR N A,51,7,,,3,,,,,,5,66
,,,BROCCARD D,7,16,6,,2,,,,,,6,37
,,,BROWN N A,21,11,7,,2,,,,2,,10,53
,,,CHEN A H,10,12,,,5,,,,,,5,32
,,,FARSCHMAN K V,29,34,8,,6,,,,,,10,87
,,,FOX N M,6,19,11,2,12,,,,,,11,61
,,,HOWARD B,26,39,6,4,1,,,,,,18,94
,,,HOWARD D B,47,21,3,,4,,1,,,,17,93
,,,JUNIUS J A,11,25,12,4,3,,,,,,5,60
,,,KAIMIKAUA‐GREEN C I,10,7,4,,3,,,,,,6,30
,,,MARTIN B S,23,16,4,1,2,,,,,,12,58
,,,MCNAMARA C V,33,34,8,,9,,,,,,21,105
,,,MELAMED N,10,9,5,,3,,,,,,,27
,,,MENJIVAR M I,7,13,1,1,1,,,,,,8,31
,,,PICARELLI R R,7,8,4,2,5,,,,,,4,30
,,,PRESTON B L,45,13,5,,1,,,,,,3,67
,,,RUH C,3,6,4,8,7,,,,,,4,32
,,,SHAFFER J M,5,10,3,1,1,,1,,,,11,32
,,,SUNG M,9,12,8,1,2,,,,,,3,35
,,,TREMEAU CHEKROU J C,14,17,14,5,6,,,,,,6,62
,,,WHIDDEN A R,33,18,6,,3,,,,,,4,64
,,COM ST 11 Total,,556,391,132,31,99,,4,,2,,207,1422
,,COM ST 12,KAIMIKAUA‐GREEN C I,15,2,1,,1,,,,1,,8,28
,,,SMITH H A,6,6,8,2,,,,,1,,4,27
,,COM ST 12 Total,,21,8,9,2,1,,,,2,,12,55
,,COM ST 16,ANDRADE L M,39,18,10,,1,,,,,,1,69
,,,JUNIUS J A,16,11,6,1,1,,,,,,1,36
,,,SUNG M,16,26,13,3,3,,,,,,8,69
,,COM ST 16 Total,,71,55,29,4,5,,,,,,10,174
,,COM ST 21,ANDRADE L M,20,9,4,,3,,,,,,,36
,,,AVALOS R,19,4,4,,1,,,,,,3,31
,,,BROWN N A,20,3,2,,,,,,,,1,26
,,,KWACK J B,22,9,1,,1,,,,,,2,35
,,,MELAMED N,20,6,2,,1,,,,,,1,30
,,,MENJIVAR M I,18,10,3,,,,,,,,4,35
,,,MLECZKO J,32,3,,,1,,,,,,1,37
,,COM ST 21 Total,,151,44,16,,7,,,,,,12,230
,,COM ST 22,BROWN N A,17,,1,,,,,,,,5,23
,,COM ST 22 Total,,17,,1,,,,,,,,5,23
,,COM ST 30,BROCCARD D,11,14,5,,3,,,,,,1,34
,,COM ST 30 Total,,11,14,5,,3,,,,,,1,34
,,COM ST 31,BROCCARD D,9,10,3,,,,,,,,1,23
,,COM ST 31 Total,,9,10,3,,,,,,,,1,23
,,COM ST 310,ANDRADE L M,16,3,,,1,,,,,,,20
,,COM ST 310 Total,,16,3,,,1,,,,,,,20
,,COM ST 35,AVALOS R,17,3,2,,5,,,,,,2,29
,,,BERGSTROM L M,16,4,2,,,,,,,,4,26
,,,BROWN N A,17,12,10,,,,,,1,,4,44
,,,HUBBLE B,13,8,2,2,2,,,,,,3,30
,,,OGATA D K,98,33,4,,6,,2,,,,4,147
,,,PICARELLI R R,7,8,2,4,3,,,1,,,6,31
,,,SADEGHI‐TABRIZI F,11,7,6,1,,,,,,,5,30
,,,SMITH H A,11,20,15,5,4,,,,1,,12,68
,,,TREMEAU CHEKROU J C,7,7,8,1,,,,,,,3,26
,,COM ST 35 Total,,209,105,59,15,22,,2,1,2,,46,461
,,COM ST 36,BROCCARD D,11,8,6,,1,,,,,,4,30
,,COM ST 36 Total,,11,8,6,,1,,,,,,4,30
,,COM ST 37,BEELER M,11,4,5,1,3,,,,,,5,29
,,,SADEGHI‐TABRIZI F,11,9,3,1,6,,,,,,1,31
,,,SMITH H A,4,2,4,4,2,,,,,,7,23
,,COM ST 37 Total,,26,15,12,6,11,,,,,,13,83
,COM ST Total,,,1104,672,282,59,157,,6,1,6,,320,2607
,FILM,FILM    1,BOLUS M P,21,3,4,,9,,,,,,4,41
,,,CONLEY T,39,7,1,,,,5,,,,10,62
,,,FLOOD S W,26,17,4,1,1,,1,,,,11,61
,,,HILL E T,15,10,3,2,4,,,,,,1,35
,,,LEECH M R,23,7,1,1,2,,,,,,3,37
,,,MANOJLOVIC M,18,4,1,2,3,,,,,,4,32
,,,MATTHEWS M N,20,17,9,7,,,2,,1,,7,63
,,,POIRIER N P,20,2,3,,1,,4,,,,3,33
,,,SPRAGUE T,14,5,2,1,4,,,,,,,26
,,FILM    1 Total,,196,72,28,14,24,,12,,1,,43,390
,,FILM    2,BOLUS M P,21,6,2,1,1,,,,1,,4,36
,,,KANIN J D,18,25,7,4,1,,,1,,,7,63
,,FILM    2 Total,,39,31,9,5,2,,,1,1,,11,99
,,FILM    5,KANIN J D,27,32,2,1,3,,,,,,11,76
,,,LAFFEY S A,15,8,4,1,,,1,,,,2,31
,,,ROSENBERG V L,10,4,9,,1,,,,,,4,28
,,FILM    5 Total,,52,44,15,2,4,,1,,,,17,135
,,FILM    6,SHAW R D,18,5,3,2,3,,1,,,,5,37
,,FILM    7,CARRASCO S,23,10,,,1,,,,,,2,36
,,FILM    7 Total,,23,10,,,1,,,,,,2,36
,,FILM    8,HILL E T,12,8,5,1,2,,,,,,4,32
,,FILM    8 Total,,12,8,5,1,2,,,,,,4,32
