"","","","","","","","","","","","","",""
AHIS   18 Total,,42,16,3,,10,,,,,,9,80
AHIS   52,FIER B,6,12,11,6,10,,,,,,6,51
AHIS   52 Total,,6,12,11,6,10,,,,,,6,51
AHIS   72,DASTIN E R,14,8,6,1,2,,,,,,1,32
"",MIHAYLOVICH K W,13,12,3,2,3,,,,,,5,38
AHIS   72 Total,,27,20,9,3,5,,,,,,6,70
ART    10A,ARUTIAN C L,4,2,7,,1,,,,,,4,18
"",BADGER C P,25,10,1,,13,,1,,1,,8,59
"",BURCHMAN J H,15,3,,,2,,,,,,7,27
"",JAMES N M,4,5,3,,4,,1,,,,3,20
"",KARLSEN A M,26,10,4,1,6,,,,,,9,56
"",MITCHELL R,30,7,2,,,,2,,,,4,45
"",MIYANO E,11,9,2,,2,,,,,,2,26
"",SHIBATA J M,13,3,,,1,,,,,,4,21
"",WINSRYG M W,11,4,,1,1,,,,,,6,23
"",ZARCONE J,2,4,2,,3,,,,,,6,17
ART    10A Total,,141,57,21,2,33,,4,,1,,53,312
ART    10B,BADGER C P,14,12,1,,2,,,,,,1,30
"",MIYANO E,11,8,,2,1,,,,,,1,23
"",WINSRYG M W,7,5,2,,,,,,,,5,19
ART    10B Total,,32,25,3,2,3,,,,,,7,72
ART    10C,BADGER C P,13,1,2,,3,,,,,,1,20
"",OBIAMIWE O D,7,4,1,1,1,,,,,,3,17
ART    10C Total,,20,5,3,1,4,,,,,,4,37
ART    13,HARTMAN D G,25,2,,,,,,,,,,27
"",SILVER E M,32,4,1,,,,,,,,5,42
ART    13 Total,,57,6,1,,,,,,,,5,69
ART    17A,JOLLER G,14,1,,,,,,,,,5,20
ART    20A,BURCHMAN J H,20,4,1,1,,,,,,,5,31
"",HATTON C,51,12,6,,8,,1,,,,15,93
"",KOMPANEYETS M,5,6,5,,3,,,,,,4,23
"",MAMMARELLA C J,7,6,,,8,,,,,,7,28
"",OTA N T,6,5,1,,2,,,,,,9,23
"",SIMON D L,5,6,4,1,4,,5,,,,4,29
"",VICICH G M,20,8,9,,4,,,,,,10,51
"",ZARCONE J,6,2,2,6,3,,,,,,6,25
ART    20A Total,,120,49,28,8,32,,6,,,,60,303
ART    20B,HATTON C,20,2,1,,1,,,,,,6,30
"",LOPEZ L G,4,8,4,5,,,,,,,8,29
"",MAMMARELLA C J,7,7,2,1,1,,,,1,,6,25
ART    20B Total,,31,17,7,6,2,,,,1,,20,84
ART    20C,WINSRYG M W,10,2,1,,,,,,,,2,15
ART    20C Total,,10,2,1,,,,,,,,2,15
ART    21A,KOMPANEYETS M,9,3,,,2,,,,,,4,18
"",TRUJILLO M E,23,16,4,,3,,,,,,3,49
ART    21A Total,,32,19,4,,5,,,,,,7,67
ART    21B,TRUJILLO M E,10,1,3,,1,,,,,,6,21
ART    21B Total,,10,1,3,,1,,,,,,6,21
ART    30A,SHIBATA J M,6,3,2,,2,,,,,,9,22
ART    30A Total,,6,3,2,,2,,,,,,9,22
ART    30C,OTA N T,10,4,,1,1,,,,,,11,27
ART    30C Total,,10,4,,1,1,,,,,,11,27
ART    31,HATTON C,19,2,,,,,,,,,,21
"",LOPEZ L G,8,,3,4,,,,,1,,14,30
"",TRUJILLO M E,12,2,1,,2,,,,,,6,23
ART    31 Total,,39,4,4,4,2,,,,1,,20,74
ART    32,HATTON C,8,,,,,,,,,,,8
"",LOPEZ L G,2,1,2,1,,,,,,,2,8
ART    32 Total,,10,1,2,1,,,,,,,2,16
ART    34A,LOPEZ L G,12,6,2,2,,,,1,,,1,24
ART    34A Total,,12,6,2,2,,,,1,,,1,24
"",HARTMAN D G,44,9,,,2,,,,,,1,56
ART    40A Total,,56,17,1,,2,,,,,,4,80
ART    40B,BROMBERG T L,5,2,,,,,,,,,,7
"",HARTMAN D G,11,2,,,,,,,,,,13
ART    40B Total,,16,4,,,,,,,,,,20
ART    40C,HARTMAN D G,6,,,,,,,,,,,6
ART    40C Total,,6,,,,,,,,,,,6
ART    43A,BROMBERG T L,8,2,3,,1,,,,,,3,17
ART    43A Total,,8,2,3,,1,,,,,,3,17
ART    43B,BROMBERG T L,4,1,,,,,,,,,,5
ART    43B Total,,4,1,,,,,,,,,,5
ART    52A,PHILLIPS F,58,6,4,,2,,,,,,5,75
"",WHEAT N R,12,3,2,,3,,,,,,3,23
ART    52A Total,,70,9,6,,5,,,,,,8,98
ART    52B,PHILLIPS F,24,3,,,1,,,,,,2,30
ART    52B Total,,24,3,,,1,,,,,,2,30
ART    60,THOMASON M M,14,5,,,1,,,,,,4,24
ART    60 Total,,14,5,,,1,,,,,,4,24
ARTS   88A,DAVIS R L,4,,,,,,,,,,,4
ARTS   88A Total,,4,,,,,,,,,,,4
ARTS   88B,DAVIS R L,1,,,,,,,,,,,1
ARTS   88B Total,,1,,,,,,,,,,,1
DESIGN 87O,BADGER C P,4,,,,1,,,,,,1,6
DESIGN 87O Total,4,,,,1,,,,,,1,6,
PHOTO  52,FIER B,10,23,19,14,16,,,,1,,12,95
PHOTO  52 Total,,10,23,19,14,16,,,,1,,12,95
"",,1714,590,282,96,362,,26,3,7,,484,3564
VAR PE  9V,THOMAS J L,19,,,,,,,,,,,19
VAR PE  9V Total,,19,,,,,,,,,,,19
VAR PE  9W,STRONG L M,10,,,,,,,,,,4,14
VAR PE  9W Total,,10,,,,,,,,,,4,14
VAR PE 11A,HANK M E,35,6,2,1,,,1,,,,5,50
"",MOSICH N W,33,11,5,5,,,,,,,7,61
VAR PE 11B,HANK M E,33,6,1,,1,,,,,,6,47
"",MOSICH N W,12,4,1,1,1,,,,,,5,24
VAR PE 11B Total,,45,10,2,1,2,,,,,,11,71
VAR PE 14V,BARRON E A,10,1,1,,,,,,,,1,13
VAR PE 14V Total,,10,1,1,,,,,,,,1,13
VAR PE 14W,BARRON E A,7,,,,,,,,,,1,8
VAR PE 14W Total,7,,,,,,,,,,1,8,
VAR PE 21V,KEARIN J L,25,,,,,,,,,,4,29
"",LEDWITH K F,53,2,,,,,,,,,11,66
VAR PE 21V Total,,78,2,,,,,,,,,15,95
VAR PE 43V,PIERCE T L,29,,,,,,,,,,1,30
VAR PE 43V Total,,29,,,,,,,,,,1,30
VAR PE 43W,BENDITSON A,23,,,,1,,,,,,,24
VAR PE 43W Total,23,,,,1,,,,,,,24,
VAR PE 50V,ESKRIDGE B M,18,,,,,,,,,,1,19
VAR PE 50V Total,,18,,,,,,,,,,1,19
VAR PE 50W,ROBERTS JR P E,10,,,,,,,,,,1,11
VAR PE 50W Total,10,,,,,,,,,,1,11,
VAR PE 57W,DOUGLAS T B JR,18,,,,,,,,,,1,19
VAR PE 57W Total,18,,,,,,,,,,1,19,
VAR PE 60,BENDITSON A,2,,,,,,,,,,1,3
"",LEDWITH K F,3,,,,,,,,,,,3
"",METICHECCHIA J H,6,1,,,,,,,,,1,8
"",PIERCE T L,1,,,,,,,,,,1,2
"",SHEELEY S L,5,,,,,,,,,,,5
"",SILVA L,3,1,,,1,,,,,,,5
"",THOMAS J L,7,,,,,,,,,,1,8
VAR PE 60 Total,,27,2,,,1,,,,,,4,34
"",,362,32,10,7,4,,1,,,,52,468
ACCTG   1,ANDRE J M,14,8,8,,2,,,,,,14,46
"",BROOKINS G T,17,10,10,1,9,,,,1,,21,69
"",FITZGERALD R L,19,9,9,3,5,,,,1,,14,60
"",HAIG J S,19,13,3,1,7,,1,,,,23,67
"",KNIGHT R B,11,14,6,1,4,,,,,,17,53
"",LAMARRA F,25,11,2,,,,,,,,3,41
"",MAIER L S,25,12,3,,2,,,,,,3,45
"",MARES S,14,10,2,3,,,,1,,,11,41
"",NAULT W H,17,7,6,7,15,,,,,,33,85
"",PLATZ W A,23,5,5,3,11,,,,,,25,72
"",RUBIO C,16,9,5,2,4,,,,,,12,48
"",STEINBERGER E K,8,7,12,3,3,,,,,,7,40
"",TRIPPETTI V J,22,2,5,6,4,,,,,,9,48
ACCTG   1 Total,,242,120,80,31,71,,1,1,2,,205,753
ACCTG   2,ARAKELIAN A,17,19,12,,3,,,,,,9,60
"",BROOKINS G T,7,12,6,,1,,,,,,6,32
"",CARBALLO P S,13,6,,,4,,,,,,2,25
"",DANIEL C,14,7,7,1,8,,,,,,11,48
"",HUANG AI M,25,4,4,1,4,,,,,,2,40
"",KNIGHT R B,14,4,14,5,,,1,,,,7,45
"",LAMARRA F,14,11,3,,2,,,,,,1,31
"",LIM WIN Y,28,6,3,,1,,,,,,4,42
"",LU M,4,4,,,,,,,,,4,12
"",MAIER L S,13,7,3,1,1,,,,,,2,27
"",STEINBERGER E K,3,3,5,1,13,,,1,,,11,37
"",TRIPPETTI V J,10,9,10,1,3,,,,,,9,42
ACCTG   2 Total,,162,92,67,10,40,,1,1,,,68,441
ACCTG   6,HANSON M P,10,7,2,,1,,,,,,4,24
ACCTG   6 Total,,10,7,2,,1,,,,,,4,24
ACCTG   7,HANSON M P,10,10,1,,,,,,,,5,26
ACCTG   7 Total,,10,10,1,,,,,,,,5,26
ACCTG   9,HUANG AI M,49,16,1,1,,,,,,,7,74
"",KIM J S,52,10,4,,1,,,1,1,,6,75
"",KIM M S,21,14,4,,2,,,,,,1,42
ACCTG   9 Total,,122,40,9,1,3,,,1,1,,14,191
ACCTG  10A,LU M,19,20,11,4,3,,,,,,8,65
ACCTG  10A Total,,19,20,11,4,3,,,,,,8,65
ACCTG  10B Total,,25,12,4,1,4,,,,,,9,55
ACCTG  10C,HANSON M P,9,7,2,,1,,,,,,1,20
"",KIM J S,8,9,3,1,1,,,,,,3,25
ACCTG  10C Total,,17,16,5,1,2,,,,,,4,45
ACCTG  11,CARBALLO P S,9,9,4,,2,,,,,,3,27
ACCTG  11 Total,,9,9,4,,2,,,,,,3,27
ACCTG  12,STEINBERGER E K,24,17,5,1,,,,,1,,10,58
ACCTG  12 Total,,24,17,5,1,,,,,1,,10,58
ACCTG  15,RUBIO C,11,10,4,1,,,,,,,7,33
ACCTG  15 Total,,11,10,4,1,,,,,,,7,33
ACCTG  16,RUBIO C,10,7,2,2,,,,,1,,4,26
ACCTG  16 Total,,10,7,2,2,,,,,1,,4,26
ACCTG  17,RUBIO C,24,7,5,,,,,,,,15,51
ACCTG  17 Total,,24,7,5,,,,,,,,15,51
ACCTG  21,BROOKINS G T,6,4,5,3,10,,,,,,10,38
"",RESNICK W J,70,10,4,2,11,,,,1,,10,108
ACCTG  21 Total,,76,14,9,5,21,,,,1,,20,146
ACCTG  31A,VALDIVIA O,15,11,1,,,,,,,,2,29
ACCTG  31A Total,,15,11,1,,,,,,,,2,29
ACCTG  31B,VALDIVIA O,13,6,1,,2,,,,,,9,31
ACCTG  31B Total,,13,6,1,,2,,,,,,9,31
ACCTG  45,RESNICK W J,32,8,1,1,5,,,,1,,3,51
ACCTG  45 Total,,32,8,1,1,5,,,,1,,3,51
AD JUS  1,NASSER D M,9,11,12,3,7,,,,,,6,48
AD JUS  1 Total,,9,11,12,3,7,,,,,,6,48
AD JUS  2,DARDEN C A,6,12,5,,2,,,1,,,6,32
AD JUS  2 Total,,6,12,5,,2,,,1,,,6,32
AD JUS  3,SMITH DEBORAH R,1,9,8,1,7,,,,,,3,29
AD JUS  3 Total,,1,9,8,1,7,,,,,,3,29
AD JUS  5,DARDEN C A,6,10,4,1,8,,,,,,5,34
AD JUS  5 Total,,6,10,4,1,8,,,,,,5,34
AUTO   40,OATES S M,4,13,1,3,5,,,1,,,6,33
AUTO   40 Total,,4,13,1,3,5,,,1,,,6,33
AUTO   45 Total,,2,14,6,1,3,,,,,,5,31
BUS     1,ELHARDT J A,8,6,4,3,8,,,,,,8,37
"",EVERETT K M,48,14,4,3,19,,1,,,,6,95
"",KELLY MARCELLA A,27,28,11,1,15,,,2,,,16,100
"",KHALIL N,12,7,5,1,3,,,,,,15,43
"",NALEPA L L,13,10,3,1,14,,,,,,1,42
"",OLIVERI J S,25,15,6,,16,,,,,,11,73
"",RODRIGUEZ K P,36,22,10,7,8,,,,,,10,93
"",ROPER-CONLEY C,14,34,22,9,38,,,,,,20,137
"",SEDKY S M,39,20,7,2,6,,,,,,7,81
"",SENKO E A,12,7,4,3,16,,,,,,5,47
"",SHISHIDO K M,38,14,4,5,6,,,,1,,8,76
"",VEAS S,118,15,2,1,4,,,,,,7,147
BUS     1 Total,,390,192,82,36,153,,1,2,1,,114,971
BUS     5,HALLIDAY-ROBERT CA E,19,17,7,,12,,,,1,,5,61
"",KLUGMAN E B,17,11,17,5,11,,,,,,16,77
"",NASSER D M,62,68,29,16,22,,,,1,,38,236
"",RADOS-CLOKE A,26,40,27,12,5,,,,,,24,134
"",SINDELL S M,10,5,4,1,8,,,,,,14,42
BUS     5 Total,,134,141,84,34,58,,,,2,,97,550
BUS     6,HALLIDAY-ROBERT CA E,13,9,2,,3,,,,,,3,30
BUS     6 Total,,13,9,2,,3,,,,,,3,30
BUS     8,KHALIL N,10,2,7,,2,,1,1,,,16,39
BUS     8 Total,,10,2,7,,2,,1,1,,,16,39
BUS     9,KHALIL N,10,13,5,1,,,,,3,,4,36
BUS     9 Total,,10,13,5,1,,,,,3,,4,36
BUS    11,MARGOLIS D L,13,8,4,,2,,,,1,,,28
BUS    11 Total,,13,8,4,,2,,,,1,,,28
BUS    15,COMBS G E,9,5,2,,1,,,,,,8,25
BUS    15 Total,,9,5,2,,1,,,,,,8,25
BUS    16,COMBS G E,5,10,4,,3,,,,,,1,23
BUS    20,JUNG D,12,4,2,1,4,,,,,,12,35
"",KELLY MARCELLA A,24,9,5,,5,,,,,,4,47
"",REVELES J J,15,2,,,6,,,,,,2,25
"",ROCKWELL C,15,10,2,2,2,,,,,,1,32
"",SEDKY S M,41,22,6,3,6,,,,1,,13,92
BUS    20 Total,,107,47,15,6,23,,,,1,,32,231
BUS    21,IVAS L,20,5,1,,3,,1,,,,5,35
BUS    21 Total,,20,5,1,,3,,1,,,,5,35
BUS    22,ADELMAN A,8,22,5,,1,,,,,,2,38
BUS    22 Total,,8,22,5,,1,,,,,,2,38
BUS    23,PACCIORETTI T S,44,28,9,12,36,,1,,,,12,142
BUS    23 Total,,44,28,9,12,36,,1,,,,12,142
BUS    26,COPLEN J S,17,16,8,2,,,,,,,1,44
BUS    26 Total,,17,16,8,2,,,,,,,1,44
BUS    27,COPLEN J S,10,9,6,,3,,,,,,3,31
BUS    27 Total,,10,9,6,,3,,,,,,3,31
BUS    28,COPLEN J S,15,9,3,3,5,,,,,,1,36
"",WILLIAMS AY,21,,,1,2,,,,,,1,25
BUS    28 Total,,36,9,3,4,7,,,,,,2,61
BUS    31,PAIK R,1,5,9,2,7,,,,,,2,26
"",SANTILLANES A,1,2,8,2,5,,,,1,,3,22
BUS    31 Total,,2,7,17,4,12,,,,1,,5,48
BUS    32,JUNG D,6,5,2,1,3,,,,,,4,21
"",PAIK R,14,16,14,3,6,,,,,,1,54
"",ROCKWELL C,14,5,3,2,1,,,,,,1,26
"",SEDKY S M,13,7,3,1,1,,,,,,5,30
"",SOUCY S H,33,15,16,2,10,,,,,,5,81
"",WELTON M,15,5,4,1,,,1,,,,3,29
BUS    32 Total,,95,53,42,10,21,,1,,,,19,241
BUS    34,HAIG J D,18,4,6,,3,,,,,,7,38
BUS    34 Total,,18,4,6,,3,,,,,,7,38
BUS    45,GABBAY C C,14,3,,1,,,,,,,,18
"",RESNICK W J,40,4,1,,4,,,,,,8,57
BUS    46,SENKO E A,10,1,6,4,6,,,1,1,,3,32
"",SHISHIDO K M,18,8,,,3,,,,,,2,31
BUS    46 Total,,28,9,6,4,9,,,1,1,,5,63
BUS    47,RESNICK W J,19,3,1,,3,,,,,,6,32
"",SENKO E A,8,1,,,1,,,,,,4,14
BUS    47 Total,,27,4,1,,4,,,,,,10,46
BUS    50,EVERETT K M,28,6,2,1,2,,,,,,3,42
BUS    50 Total,,28,6,2,1,2,,,,,,3,42
BUS    51,WELTON M,10,4,1,1,1,,,,,,4,21
BUS    51 Total,,10,4,1,1,1,,,,,,4,21
BUS    52,ALEXANDER J S,7,12,2,,3,,,,,,2,26
BUS    52 Total,,7,12,2,,3,,,,,,2,26
BUS    53,RODRIGUEZ K P,14,4,,1,1,,,,,,8,28
BUS    53 Total,,14,4,,1,1,,,,,,8,28
BUS    62,BABCOCK L G,15,5,2,1,2,,,,,,6,31
BUS    62 Total,,15,5,2,1,2,,,,,,6,31
BUS    63,BROWN M W,5,4,10,,,,,,,,4,23
"",CLAUSEN A I,2,8,6,4,3,,,,,,6,29
"",PACCIORETTI T S,36,7,6,3,17,,1,,,,14,84
BUS    63 Total,,43,19,22,7,20,,1,,,,24,136
BUS    65,ALEXANDER J S,10,11,4,,4,,,,,,3,32
"",ROCKWELL C,17,6,11,,1,,,,,,1,36
BUS    65 Total,,27,17,15,,5,,,,,,4,68
BUS    69,PACCIORETTI T S,9,6,3,2,13,,,1,1,,4,39
BUS    69 Total,,9,6,3,2,13,,,1,1,,4,39
BUS    76,HUNTER R T,13,4,,1,2,,,,,,2,22
BUS    76 Total,,13,4,,1,2,,,,,,2,22
BUS    80,RODRIGUEZ K P,13,6,2,,3,,,,,,,24
BUS    80 Total,,13,6,2,,3,,,,,,,24
BUS    81,EVERETT K M,17,3,1,,15,,,,,,4,40
BUS    81 Total,,17,3,1,,15,,,,,,4,40
BUS    82,EVERETT K M,21,4,3,,9,,,,,,3,40
BUS    82 Total,,21,4,3,,9,,,,,,3,40
BUS    83 Total,,8,6,2,2,6,,,,,,8,32
BUS    84,RODRIGUEZ K P,21,2,2,,3,,,,1,,1,30
BUS    84 Total,,21,2,2,,3,,,,1,,1,30
COUNS  47,RESNICK W J,17,5,4,,6,,,,,,8,40
"",SENKO E A,4,2,3,1,2,,,,,,3,15
COUNS  47 Total,,21,7,7,1,8,,,,,,11,55
"",,2166,1180,621,198,627,,8,10,19,,859,5688
BUS    29,ADELMAN A,2,3,2,,,,,,,,1,8
BUS    29 Total,,2,3,2,,,,,,,,1,8
BUS    33,ADELMAN A,3,3,3,,,,,,1,,4,14
BUS    33 Total,,3,3,3,,,,,,1,,4,14
COM ST  9,KAIMIKAUA-GREEN C I,5,4,4,2,,,,,,,8,23
"",RUH C,5,11,7,,7,,,,,,6,36
COM ST  9 Total,,10,15,11,2,7,,,,,,14,59
COM ST 11,ANDRADE L M,24,24,4,2,3,,,,,,10,67
"",BEELER M,8,6,5,2,2,,,,,,9,32
"",BERMUDEZ JR N A,54,11,1,,2,,,,,,9,77
"",BROCCARD D,4,12,6,2,3,,,,,,4,31
"",BROWN N A,19,16,6,1,1,,,,,,18,61
"",FARSCHMAN K V,33,37,7,,4,,,,,,10,91
"",FOX N M,5,7,5,1,5,,,,,,3,26
"",HEMMERT S B,34,14,7,3,4,,,,,,3,65
"",HOWARD B,31,33,14,,4,,3,,,,17,102
"",HOWARD D B,39,22,8,4,5,,1,,1,,7,87
"",HUBBLE B,18,2,1,,4,,,,,,4,29
"",JUNIUS J A,21,34,16,4,5,,,,,,6,86
"",MARTIN B S,22,10,5,2,5,,,,,,7,51
"",MCNAMARA C V,33,27,18,3,8,,,,,,17,106
"",MELAMED N,10,11,7,,2,,,,,,6,36
"",MENJIVAR M I,11,34,11,1,3,,,,,,3,63
"",MLECZKO J,26,1,1,1,1,,,,,,1,31
"",MOLINA ROGERS N L,15,11,8,5,10,,,,,,9,58
"",PICARELLI R R,8,7,7,1,4,,,,,,6,33
"",PRESTON B L,47,16,,,3,,,,,,1,67
"",RUH C,,7,10,2,5,,,,,,6,30
"",SADEGHI-TABRIZI F,1,7,3,1,2,,,,,,11,25
"",SUNG M,6,11,5,1,1,,,,,,8,32
"",WHIDDEN A R,28,15,7,,4,,,,1,,9,64
COM ST 11 Total,,607,396,168,37,94,,10,,2,,195,1509
COM ST 12,KWACK J B,8,10,2,,4,,,,,,5,29
COM ST 12 Total,,8,10,2,,4,,,,,,5,29
COM ST 16,ANDRADE L M,32,17,7,2,1,,,,,,5,64
"",HUBBLE B,14,7,2,,1,,,,,,2,26
"",KAIMIKAUA-GREEN C I,12,7,,,2,,,,,,7,28
"",SUNG M,8,28,10,4,6,,,,,,6,62
COM ST 16 Total,,66,59,19,6,10,,,,,,20,180
COM ST 21,ANDRADE L M,12,10,8,,1,,,,,,3,34
"",BROWN N A,26,10,8,1,3,,1,,,,7,56
"",KWACK J B,13,7,4,1,,,,,,,3,28
"",MENJIVAR M I,23,8,,1,,,,,,,2,34
COM ST 21 Total,,74,35,20,3,4,,1,,,,15,152
COM ST 22,BROWN N A,15,,4,,3,,1,,,,2,25
COM ST 22 Total,,15,,4,,3,,1,,,,2,25
COM ST 30,BROCCARD D,10,11,3,,1,,,,,,3,28
COM ST 30 Total,,10,11,3,,1,,,,,,3,28
COM ST 31,BROCCARD D,6,4,4,,,,1,,,,2,17
COM ST 31 Total,,6,4,4,,,,1,,,,2,17
COM ST 35,AVALOS R,15,6,3,,2,,,,,,2,28
"",BEELER M,12,6,6,1,1,,,,,,4,30
"",BERGSTROM L M,38,8,1,1,,,,,,,15,63
"",BROCCARD D,5,11,4,,3,,,,,,3,26
"",BROWN N A,15,16,5,,2,,,,1,,9,48
"",HEMMERT S B,14,6,2,2,1,,,,,,2,27
"",LEMONDS B W,11,4,,1,2,,,,,,7,25
"",PICARELLI R R,7,6,4,3,4,,,,,,4,28
"",SADEGHI-TABRIZI F,5,8,6,2,7,,,,,,5,33
"",SMITH H A,8,24,23,10,11,,,1,1,,22,100
COM ST 35 Total,,232,114,60,20,38,,2,3,2,,81,552
COM ST 36,BROCCARD D,6,13,6,,7,,,,,,2,34
COM ST 36 Total,,6,13,6,,7,,,,,,2,34
COM ST 37,AVALOS R,13,6,2,,8,,,,,,3,32
"",SADEGHI-TABRIZI F,4,5,8,4,3,,,,,,6,30
"",SMITH H A,3,2,3,3,4,,,,,,7,22
COM ST 37 Total,,20,13,13,7,15,,,,,,16,84
FILM    1,BARTESAGHI S,37,1,,,,,,,,,3,41
"",BOLUS M P,39,4,4,10,7,,,,,,1,65
"",CONLEY T,16,8,,,3,,1,,,,3,31
"",FLOOD S W,19,17,,,1,,,,,,2,39
"",HILL E T,16,12,2,2,2,,1,,,,3,38
"",MANOJLOVIC M,18,8,3,3,2,,,,1,,8,43
"",MATTHEWS M N,13,13,2,2,,,,,,,,30
"",POIRIER N P,19,3,,,2,,,,,,3,27
"",SPRAGUE T,11,8,2,,3,,,,,,5,29
FILM    1 Total,,188,74,13,17,20,,2,,1,,28,343
FILM    2,CARRASCO S,19,13,2,,2,,,,,,5,41
"",KANIN J D,29,37,,1,9,,,,,,6,82
FILM    2 Total,,48,50,2,1,11,,,,,,11,123
FILM    5,KANIN J D,50,11,,9,2,,,,,,12,84
"",LAFFEY S A,8,9,5,1,3,,1,,,,4,31
"",ROSENBERG V L,10,7,3,,1,,,,,,2,23
FILM    5 Total,,68,27,8,10,6,,1,,,,18,138
FILM    6,SHAW R D,16,7,,1,1,,2,,1,,7,35
FILM    6 Total,,16,7,,1,1,,2,,1,,7,35
FILM    7,CARRASCO S,16,19,3,,2,,,,,,1,41
FILM    7 Total,,16,19,3,,2,,,,,,1,41
FILM    8,HILL E T,10,9,5,1,3,,,,,,2,30
"",KANIN J D,30,33,,2,3,,,,1,,7,76
FILM    8 Total,,59,43,5,5,8,,,,1,,17,138
FILM    9,LEECH M R,18,2,,,3,,,,,,2,25
FILM    9 Total,,18,2,,,3,,,,,,2,25
FILM   11,POIRIER N P,9,7,2,,1,,1,,,,4,24
FILM   11 Total,,9,7,2,,1,,1,,,,4,24
FILM   20,MATTHEWS M N,14,6,4,3,,,,,,,4,31
"",PETRELLA R J,17,33,8,4,1,,,,,,3,66
"",ROSENTHAL L,24,2,3,1,,,,,1,,2,33
FILM   20 Total,,55,41,15,8,1,,,,1,,9,130
FILM   21,BIRNBAUM M J,7,7,4,,3,,1,,,,7,29
"",MATTHEWS M N,11,3,4,1,,,,,,,9,28
FILM   21 Total,,18,10,8,1,3,,1,,,,16,57
FILM   30,DANIELS R,42,3,1,6,,,,,,,5,57
FILM   30 Total,,42,3,1,6,,,,,,,5,57
FILM   32,BARTESAGHI S,25,,,,,,,,,,2,27
"",CARRASCO S,26,1,,,1,,,,,,,28
FILM   32 Total,,51,1,,,1,,,,,,2,55
FILM   32L,BARTESAGHI S,24,,,,1,,,,,,1,26
"",CARRASCO S,27,,,,1,,,,,,,28
FILM   32L Total,,51,,,,2,,,,,,1,54
FILM   33,CARRASCO S,24,1,,,,,,,,,1,26
FILM   33 Total,,24,1,,,,,,,,,1,26
FILM   33L,CARRASCO S,24,,1,,,,,,,,1,26
FILM   33L Total,,24,,1,,,,,,,,1,26
FILM   40,JARAMILLO L A,59,16,1,,,,,,,,1,77
FILM   40 Total,,59,16,1,,,,,,,,1,77
FILM   50,PLATT H H,8,9,1,1,,,1,,1,,3,24
FILM   50 Total,,8,9,1,1,,,1,,1,,3,24
FILM   88A,CARRASCO S,3,,,,,,,,,,,3
FILM   88A Total,,3,,,,,,,,,,,3
FILM   90A,MUNOZ M E,,,,,,,,,2,,,2
FILM   90A Total,,,,,,,,,,2,,,2
GLOBAL  3,MOVIUS L,10,2,1,,,,,,,,2,15
JOURN   1,BLAIZE-HOPKINS A N,6,5,1,,4,,,,,,5,21
"",OBSATZ S B,37,5,,2,,,1,,1,,7,53
"",RUBIN S M,7,12,,2,5,,,,,,12,38
"",STAMBLER L S,9,5,2,,1,,2,,,,4,23
JOURN   1 Total,,59,27,3,4,10,,3,,1,,28,135
